Movie Title;Director;Running time;Main Actor;Genre;Budget;Box Office;Release year
Bachelorette;Leslye Headland;87;Kirsten Dunst;Comedy;3000000;5000000;2012
Playing for Keeps;Gabriele Muccino;105;Gerard Butler;Comedy;35000000;9000000;2012
American Heist;Sarik Andreasyan;94;Hayden Christensen;Action;10000000;1500000;2014
Daddy Day Care;Steve Carr;92;Anjelica Huston;Comedy;60000000;164000000;2003
Hitman;Xavier Gens;94;Henry Ian Cusick;Action;24000000;101000000;2007
Nutty Professor II: The Klumps;Peter Segal;109;Larry Miller;Comedy;65000000;166000000;2000
Silent House;Chris Kentis;86;Eric Sheffer Stevens;Thriller;2000000;13000000;2011
The Mortal Instruments: City of Bones;Harald Zwart;130;Aidan Turner;Horror;60000000;31000000;2013
The Son of No One;Dito Montiel;90;Channing Tatum;Crime;15000000;51100000;2011
Heist;Scott Mann;93;Robert De Niro;Action;19000000;14000000;2015
The Number 23;Joel Schumacher;98;Logan Lerman;Thriller;32000000;77000000;2007
Treasure Planet;Ron Clements;95;Joseph Gordon-Levitt;Animation;140000000;109000000;2002
Basic;John McTiernan;98;Connie Nielsen;Action;50000000;41300000;2003
Come Early Morning;Joey Lauren Adams;97;Tim Blake Nelson;Drama;6000000;1200000;2006
Harvard Man;James Toback;99;Sarah Michelle Gellar;Comedy;5500000;644000;2001
Seven Psychopaths;Martin McDonagh;110;Abbie Cornish;Comedy;15000000;33000000;2012
Super Hybrid;Eric Valette;94;Melanie Papalia;Horror;13000000;8000000;2010
John Q;Nick Cassavetes;116;Denzel Washington;Crime;36000000;102000000;2002
The Great Gatsby;Baz Luhrmann;143;Leonardo DiCaprio;Drama;105000000;353000000;2013
A Beautiful Mind;Ron Howard;135;Adam Goldberg;Biography;58000000;317000000;2001
Changing Lanes;Roger Michell;91;Sydney Pollack;Thriller;45000000;94500000;2002
Hugo;Martin Scorsese;126;Chloë Grace Moretz;Adventure;170000000;185000000;2011
The Three Musketeers;Paul W.S. Anderson;110;Milla Jovovich;Action;75000000;132000000;2011
Sex Drive;Sean Anders;129;Katrina Bowden;Adventure;19000000;19000000;2008
The Giver;Phillip Noyce;97;Jeff Bridges;Drama;25000000;45000000;2014
Letters to God;David Nixon;110;Robyn Lively;Drama;3500000;2400000;2010
Snow Day;Chris Koch;89;Chris Elliott;Adventure;13000000;62000000;2000
